Renglón	Token	Lexema	Categoría
1	DIV	/	OPERADOR_ARITMÉTICO
1	DIV	/	OPERADOR_ARITMÉTICO
1	ID	Ejemplo	IDENTIFICADOR
1	ID	de	IDENTIFICADOR
1	ID	programa	IDENTIFICADOR
2	PR	int	PALABRA_RESERVADA
2	ID	main	IDENTIFICADOR
2	PA	(	AGRUPACIÓN
2	PC	)	AGRUPACIÓN
2	LLA	{	AGRUPACIÓN
3	PR	float	PALABRA_RESERVADA
3	ID	resultado	IDENTIFICADOR
3	ASIG	=	OPERADOR_ASIGNACION
3	NUM	10.5	NÚMERO
3	MAS	+	OPERADOR_ARITMÉTICO
3	NUM	5	NÚMERO
3	PUNTOCOMA	;	DELIMITADOR
4	PR	if	PALABRA_RESERVADA
4	PA	(	AGRUPACIÓN
4	ID	resultado	IDENTIFICADOR
4	MAYOR	>	OPERADOR_RELACIONAL
4	NUM	15	NÚMERO
4	PC	)	AGRUPACIÓN
4	LLA	{	AGRUPACIÓN
5	PR	return	PALABRA_RESERVADA
5	NUM	1	NÚMERO
5	PUNTOCOMA	;	DELIMITADOR
6	LLC	}	AGRUPACIÓN
7	LLC	}	AGRUPACIÓN
